player,finished,top,video,extra
_AyaNyaMew_,1,,,0
_T1AnLaN,1,,,0
_Teio_,1,,,0
04006,1,,,0
123_Kohaku,1,,,0
AbraHam_0624,1,,,0
Akitsuki4852,1,,,0
AlphaLorat,1,,,0
Altame,1,,,0
an_qwq,1,,1,1
Anainai99,1,,,0
Angebs,1,,,0
Asakura_kukii,1,,,0
AUTIC,1,,,0
AyayaMew,1,1,,1
Azur_Bismarck,1,,,0
Azur_BlackPrince,1,,,0
AzurDream07,1,,,0
bahaoda,1,,1,1
Big_WhiteDragon,1,,,0
BlackSmithly,1,,,0
BlingWang,1,,,0
BluesEcho,1,,,0
cb3a,1,,,0
ChuXuan_windy,1,,,0
CierraRunis_,1,,,0
clahxm,1,,,0
Crane_L,1,,,0
Cryoignis,1,,,0
Currypa,1,,,0
Dumbledorest,1,,,0
Eillenc,1,,,0
etwxr9,1,1,1,2
F_IndulgencE,1,,,0
FanTian_X,1,1,,1
Fiari,1,,,0
fiue_fice_,1,1,1,2
FollowerZz,1,,,0
G_G_Ge,1,,,0
Gotopia,1,,,0
GX1608,1,,,0
HanaokaSKY,1,,,0
HepuZ,1,,,0
Hks2i,1,1,,1
hongling,1,,,0
HuiZhang_,1,,,0
Ice_maplc,1,,,0
IJN_40010,1,,,0
Inubashiri_Momiz,1,,1,1
Izumi_gd,1,,,0
jack_cc,1,,,0
jiaoxiu_ovo,1,,,0
jiuseng,1,,,0
John_sun,1,,,0
Kazeshima,1,,,0
Kinomotomoyo,1,,,0
Kirisamemoriere,1,,,0
kksk666777,1,,1,1
Komeiji_Porie,1,,,0
Komeiji_Teriri,1,,,0
KomeijiIkari,1,,,0
Kwtide,1,,,0
lbpc2332,1,,,0
Le0n_Frieken,1,,,0
LiIci111,1,,,0
lilydjwg,1,,,0
LogicNoob_,1,,,0
LucidBrick,1,,,0
LuoTianyi_Master,1,,,0
Mika_SPCT,1,1,,1
Mizu_Sky,1,1,,1
Mr_eight8,1,,,0
NAGISAKI_MINATO,1,,,0
Natsukazee,1,,,0
Neptune2024,1,,,0
NicoYazawa_,1,,,0
nihui,1,,1,1
Nyaasu,1,,,0
nyapasss,1,,,0
orangeCRS,1,1,,1
ououe,1,,,0
Ping_timeout,1,,,0
QinCaii,1,,,0
Ran_nano,1,1,1,2
Rimo,1,1,1,2
Rinko_1017,1,1,,1
RosmontisNoir,1,,,0
RS_miku,1,,,0
SageMitten10484,1,,,0
Saionji_Yuren_,1,,,0
SAMY_WANG,1,,,0
Sandiego_CL53_,1,,,0
SchrodingCats,1,,,0
ScroogeRainS,1,,,0
SunGela,1,,,0
tcdw,1,,,0
Thehuantian,1,,1,1
Thyizhe,1,,,0
Trump15,1,,,0
TsuZing,1,,,0
Valarfly,1,,,0
wakaka11111,1,,,0
WuTongiii,1,,,0
wwIce,1,1,1,2
Xander_Zhao,1,,,0
Xanthus_,1,,,0
XenWayne,1,,,0
XiaoMouz_OvO,1,1,1,2
yebuluoxi,1,,1,1
YorushiroLen,1,,,0
YoyisakiKnd,1,,,0
yueducheng,1,,,0
YukiGeZi,1,,,0
Yukikaze_nya,1,,,0
ZhigeOffice,1,1,,1
Zuo_longYZ,1,,,0
zzhhaibi666,1,,,0
