name,top3,top10,attend
Axis_Power,1,,
Eillenc,1,,
fiue_fice_,1,,
FanTian_X,,1,
Entor_DAZE,,1,
Cocoabeans_,,1,
wwIce,,1,
etwxr9,,1,
RosmontisNoir,,1,
Ran_nano,,1,
CierraRunis_,,,1
LuoTianyi_Master,,,1
SC_HYDD,,,1
Dubhe_ltq,,,1
BluesEcho,,,1
Ice_maplc,,,1
F_IndulgencE,,,1
SAMY_WANG,,,1
Anainai99,,,1
Inubashiri_Momiz,,,1
Rimo,,,1
Izumi_gd,,,1
ououe,,,1
AUTIC,,,1
LucidBrick,,,1
Akitsuki4852,,,1
Thehuantian,,,1
Azur_Bismarck,,,1
NAGISAKI_MINATO,,,1
lbpc2332,,,1
Saionji_Yuren_,,,1
Zuo_longYZ,,,1
an_qwq,,,1
Rinko_1017,,,1
silentRain_qwq,,,1
Le0n_Frieken,,,1
SchrodingCats,,,1
ScroogeRainS,,,1
KomeijiIkari,,,1
Hks2i,,,1
Xanthus_,,,1
XiaoMouz,,,1
Mika_SPCT,,,1
qlX_Felp,,,1
Nyaasu,,,1
SolidusPanda,,,1
123_Kohaku,,,1
kksk666777,,,1
Altame,,,1
AlphaLorat,,,1
Kwtide,,,1
AyayaMew,,,1
wakaka11111,,,1
YukiGeZi,,,1
BlingWang,,,1
yebuluoxi,,,1
Mizu_sky,,,1
bahaoda,,,1
LogicNoob_,,,1
lawsuo,,,1
yueducheng,,,1
Komeiji_porie,,,1
Thyizhe,,,1
PaddiTime,,,1
Mr_eight8,,,1
G_G_Ge,,,1
ka_lu_,,,1
trump15,,,1
FollowerZz,,,1
Dumbledorest,,,1
_T1AnLaN,,,1
yukio911,,,1
muxue_tao,,,1
Kinomotomoyo,,,1
jiaoxiu_ovo,,,1
Xander_Zhao,,,1
ExtraGhost,,,1
IJN_40010,,,1
Ping_timeout,,,1
Natsukaze,,,1
Currypa,,,1
6water,,,1
clahxm,,,1
aperture,,,1
HuiZhang_,,,1
Mari_Lijima,,,1
Valarfly,,,1
nihui,,,1
pyeonghae,,,1
Laqua57,,,1
Stonemason_1,,,1
WuTongiii,,,1
Nicoyazawa_,,,1
sanduox,,,1
_Teio_,,,1
ZhigeOffice,,,1
YorushiroLen,,,1
komeiji_teriri,,,1
